date,type,total,pct
2020-03-01,bridgetunnel,786961,NA
2020-03-01,bus,984900,NA
2020-03-01,citibike,31956,NA
2020-03-01,subway,2214601,NA
2020-03-02,bridgetunnel,874620,NA
2020-03-02,bus,2209100,NA
2020-03-02,citibike,57102,NA
2020-03-02,subway,5347055,NA
2020-03-03,bridgetunnel,882175,NA
2020-03-03,bus,2228600,NA
2020-03-03,citibike,49861,NA
2020-03-03,subway,5498556,NA
2020-03-04,bridgetunnel,905558,3.000000000000014
2020-03-04,bus,2177200,2.571428571428598
2020-03-04,citibike,58796,8.59999999999981
2020-03-04,subway,5515945,-0.9857142857143657
2020-03-05,bridgetunnel,929298,1.8000000000000256
2020-03-05,bus,2244500,3.428571428571459
2020-03-05,citibike,58830,15.285714285714093
2020-03-05,subway,5513656,-0.7428571428572184
2020-03-06,bridgetunnel,945408,-2.799999999999983
2020-03-06,bus,2066700,-3.285714285714249
2020-03-06,citibike,34233,19.02857142857124
2020-03-06,subway,5204732,-5.64285714285721
2020-03-07,bridgetunnel,827908,-3.385714285714272
2020-03-07,bus,1249100,-4.14285714285711
2020-03-07,citibike,39562,23.357142857142676
2020-03-07,subway,2817082,-7.242857142857204
2020-03-08,bridgetunnel,765084,-4.328571428571422
2020-03-08,bus,957200,-5.14285714285711
2020-03-08,citibike,47113,24.299999999999827
2020-03-08,subway,2122328,-9.428571428571473
2020-03-09,bridgetunnel,860073,-5.442857142857136
2020-03-09,bus,2124800,-7.571428571428541
2020-03-09,citibike,68942,21.871428571428396
2020-03-09,subway,4989635,-12.857142857142904
2020-03-10,bridgetunnel,855585,-6.842857142857127
2020-03-10,bus,2112000,-9.857142857142819
2020-03-10,citibike,64465,24.828571428571266
2020-03-10,subway,4883623,-17.08571428571433
2020-03-11,bridgetunnel,866706,-10.071428571428555
2020-03-11,bus,2113000,-12.428571428571402
2020-03-11,citibike,61964,26.499999999999815
2020-03-11,subway,4712462,-22.500000000000043
2020-03-12,bridgetunnel,881188,-15.185714285714269
2020-03-12,bus,1938400,-17.85714285714282
2020-03-12,citibike,51445,21.699999999999818
2020-03-12,subway,4163674,-30.042857142857187
2020-03-13,bridgetunnel,860419,-17.457142857142827
2020-03-13,bus,1715700,-23.28571428571425
2020-03-13,citibike,43454,9.257142857142668
2020-03-13,subway,3496765,-37.05714285714289
2020-03-14,bridgetunnel,631101,-20.68571428571427
2020-03-14,bus,993300,-29.57142857142854
2020-03-14,citibike,44333,-2.628571428571618
2020-03-14,subway,1672800,-44.64285714285718
2020-03-15,bridgetunnel,535988,-24.18571428571427
2020-03-15,bus,711600,-35.99999999999997
2020-03-15,citibike,36221,-11.91428571428591
2020-03-15,subway,1159079,-52.20000000000004
2020-03-16,bridgetunnel,708870,-28.371428571428538
2020-03-16,bus,1237300,-41.57142857142854
2020-03-16,citibike,29542,-22.0000000000002
2020-03-16,subway,2184296,-58.77142857142861
2020-03-17,bridgetunnel,650445,-32.34285714285711
2020-03-17,bus,1094900,-46.71428571428568
2020-03-17,citibike,24390,-25.857142857143046
2020-03-17,subway,1793359,-64.21428571428575
2020-03-18,bridgetunnel,634853,-36.1285714285714
2020-03-18,bus,1059500,-50.999999999999964
2020-03-18,citibike,30562,-30.242857142857346
2020-03-18,subway,1629413,-68.78571428571433
2020-03-19,bridgetunnel,569696,-40.67142857142854
2020-03-19,bus,933600,-55.857142857142826
2020-03-19,citibike,20894,-37.42857142857163
2020-03-19,subway,1425564,-73.1714285714286
2020-03-20,bridgetunnel,563262,-46.199999999999974
2020-03-20,bus,868600,-59.999999999999964
2020-03-20,citibike,31414,-45.500000000000206
2020-03-20,subway,1312249,-77.08571428571433
2020-03-21,bridgetunnel,382993,-50.185714285714255
2020-03-21,bus,564900,-62.71428571428568
2020-03-21,citibike,31853,-46.51428571428592
2020-03-21,subway,620662,-79.7571428571429
2020-03-22,bridgetunnel,277051,-54.21428571428568
2020-03-22,bus,378900,-65.28571428571425
2020-03-22,citibike,19934,-51.985714285714494
2020-03-22,subway,409364,-82.11428571428576
2020-03-23,bridgetunnel,361514,-57.31428571428568
2020-03-23,bus,578200,-67.42857142857139
2020-03-23,citibike,4012,-51.61428571428592
2020-03-23,subway,711138,-84.08571428571433
2020-03-24,bridgetunnel,395493,-59.914285714285676
2020-03-24,bus,657800,-69.14285714285711
2020-03-24,citibike,20948,-53.17142857142877
2020-03-24,subway,743314,-85.81428571428576
2020-03-25,bridgetunnel,375767,-62.39999999999996
2020-03-25,bus,618000,-71.14285714285711
2020-03-25,citibike,12100,-61.242857142857346
2020-03-25,subway,691604,-87.28571428571433
2020-03-26,bridgetunnel,390117,-63.48571428571425
